x0,xf,f,nit,grad_norm,success
"(-50, 60)",[-1.81483699e-05 -3.31476614e+02],-3.1355680280700464,200,2.5665670911710484e-05,False
"(-50, 70)",[-3.44195129e-03  1.85552234e+01],3.030159686136344,200,0.006278476754434895,False
"(-50, 80)",[-1.94716448e-04  7.41024025e+01],3.1144099788757686,200,0.00037011334633703645,False
"(-50, 90)",[-1.42151562e-04  8.89752555e+01],3.1189819118041453,200,0.00025728232408385595,False
"(-50, 100)",[-1.21396214e-04  9.97130465e+01],3.1214300790960134,200,0.00020710392813332932,False
"(-40, -100)",[ 9.28131270e-16 -3.38585733e+02],-3.1356943419180294,200,2.4600711958707492e-05,False
"(-40, -90)",[ 4.47457690e-15 -3.04824956e+02],-3.1350421208537287,200,3.0342207464533554e-05,False
"(-40, -80)",[-6.59971481e-15 -2.71061630e+02],-3.1342276514686134,200,3.835677112813747e-05,False
"(-40, -70)",[-1.57220764e-05 -3.56172678e+02],-3.1359851869717654,200,2.2234373693532035e-05,False
"(-40, -60)",[-2.13592361e-05 -3.05509876e+02],-3.1350567830310565,200,3.0206521438996303e-05,False
"(-40, -50)",[-9.32761152e-15 -3.82481142e+02],-3.136370396101591,200,1.9284449212561334e-05,False
"(-40, -40)",[ 1.8966694e-15 -3.0642123e+02],-3.1350761910687748,200,3.0027393941923345e-05,False
"(-40, -30)",[-1.66921174e-05 -3.45654261e+02],-3.1358147903155213,200,2.3606218780428345e-05,False
"(-40, -20)",[ 1.02264321e-15 -3.46955461e+02],-3.1358364287528167,200,2.3429735991580478e-05,False
"(-40, -10)",[ 3.89617368e-15 -3.91244568e+02],-3.136487222287485,200,1.843127163752332e-05,False
"(-40, 0)",[-2.32021690e-05 -2.93106154e+02],-3.1347806558211113,200,3.2812822033908645e-05,False
"(-40, 10)",[-6.72071516e-15 -3.16534017e+02],-3.1352840619874054,200,2.814220422093744e-05,False
"(-40, 20)",[-3.41516518e-03  1.51173328e+01],3.003518070019246,200,0.010013380123407042,False
"(-40, 30)",[-1.73908863e-05 -3.38629035e+02],-3.1356950950658478,200,2.4594427256642577e-05,False
"(-40, 40)",[-2.20538167e-03  2.07670176e+01],3.0424432139460857,200,0.004966590384987615,False
"(-40, 50)",[-5.23533108e-15 -3.35574553e+02],-3.135641492096895,200,2.5043547189859e-05,False
"(-40, 60)",[-1.77525893e-03  2.51807261e+01],3.0602998859124444,200,0.0033232023645978345,False
"(-40, 70)",[-2.43684944e-04  6.75422597e+01],3.111747951992439,200,0.00044750345937545914,False
"(-40, 80)",[-1.91049905e-04  7.95414752e+01],3.1162816942416462,200,0.000326303736339828,False
"(-40, 90)",[-1.66684713e-04  8.98596023e+01],3.1192057888105476,200,0.00026394465665538963,False
"(-40, 100)",[-1.52544133e-04  9.99381104e+01],3.121475734216376,200,0.00022695292063304714,False
"(-30, -100)",[-2.60663547e-15 -3.38585782e+02],-3.135694342757028,200,2.4600704954991407e-05,False
"(-30, -90)",[ 4.24519361e-15 -3.04825019e+02],-3.135042122202041,200,3.0342194973132588e-05,False
"(-30, -80)",[-3.93706674e-15 -2.71061714e+02],-3.1342276537428253,200,3.835674744319909e-05,False
"(-30, -70)",[-1.57220612e-05 -3.56172850e+02],-3.1359851896861,200,2.2234352163627342e-05,False
"(-30, -60)",[-2.13592019e-05 -3.05510121e+02],-3.135056788268704,200,3.020647302517832e-05,False
"(-30, -50)",[ 3.48938272e-15 -3.82481687e+02],-3.1363704035334576,200,1.9284394342074765e-05,False
"(-30, -40)",[ 9.80898034e-16 -3.06422082e+02],-3.135076209155632,200,3.0027227251578584e-05,False
"(-30, -30)",[-1.66919108e-05 -3.45656403e+02],-3.1358148260672785,200,2.3605926666025457e-05,False
"(-30, -20)",[-7.02210642e-16 -3.46961389e+02],-3.1358365269736783,200,2.3428936400586615e-05,False
"(-30, -10)",[ 3.03816827e-15 -3.91273103e+02],-3.136487594157612,200,1.8428586701434736e-05,False
"(-30, 0)",[-2.29939630e-05 -2.94432345e+02],-3.134811287954447,200,3.2518374293380547e-05,False
"(-30, 10)",[-2.79013327e-05 -2.67244091e+02],-3.134122634502815,200,3.945844308080856e-05,False
"(-30, 20)",[-1.64736240e-05 -3.47942151e+02],-3.1358527292882217,200,2.3297222446225855e-05,False
"(-30, 30)",[-2.79656820e-03  2.08814413e+01],3.043005146986243,200,0.004934117735726465,False
"(-30, 40)",[-1.24214061e-14 -3.58170563e+02],-3.1360164229090435,200,2.1987352309133904e-05,False
"(-30, 50)",[-7.42245482e-04  3.84984150e+01],3.0888885105322994,200,0.0013938873128597283,False
"(-30, 60)",[-3.46362238e-04  5.91480381e+01],3.1074718294142443,200,0.0005927918678531933,False
"(-30, 70)",[-2.87700448e-04  6.98128913e+01],3.1127264426678503,200,0.0004459542584385923,False
"(-30, 80)",[-2.60696933e-04  7.99235336e+01],3.1164035338889966,200,0.0003772844317389614,False
"(-30, 90)",[-2.47362912e-04  8.99499473e+01],3.1192284238231704,200,0.0003498460407367219,False
"(-30, 100)",[-2.41313280e-04  9.99550467e+01],3.1214791782968643,200,0.00034569600540101453,False
"(-20, -100)",[ 7.34418562e-15 -3.38585836e+02],-3.135694343707164,200,2.4600697043267868e-05,False
"(-20, -90)",[ 6.32575047e-15 -3.04825091e+02],-3.135042123754787,200,3.034218059107666e-05,False
"(-20, -80)",[-2.40099282e-15 -2.71061812e+02],-3.1342276564162157,200,3.8356719598748424e-05,False
"(-20, -70)",[-1.57220428e-05 -3.56173058e+02],-3.1359851929595184,200,2.223432620286433e-05,False
"(-20, -60)",[-2.13591593e-05 -3.05510426e+02],-3.1350567947936856,200,3.0206412709740554e-05,False
"(-20, -50)",[ 1.75732909e-15 -3.82482395e+02],-3.1363704131915755,200,1.9284323008989714e-05,False
"(-20, -40)",[-1.35900846e-14 -3.06423254e+02],-3.135076234031213,200,3.0026997977579292e-05,False
"(-20, -30)",[-1.66916033e-05 -3.45659591e+02],-3.135814879285722,200,2.3605491801147582e-05,False
"(-20, -20)",[-3.62759817e-15 -3.46971306e+02],-3.1358366912564017,200,2.3427599047253162e-05,False
"(-20, -10)",[-2.77028055e-15 -3.91330602e+02],-3.1364883433112647,200,1.8423178332139623e-05,False
"(-20, 0)",[-2.24887066e-05 -2.97726866e+02],-3.134886205149948,200,3.1803833804900796e-05,False
"(-20, 10)",[-5.35622978e-16 -3.19917128e+02],-3.135350673492552,200,2.755103183509894e-05,False
"(-20, 20)",[-6.25381770e-03  1.75309284e+01],3.0233773297963773,200,0.008913415767947743,False
"(-20, 30)",[-1.26366482e-05 -3.97338607e+02],-3.13656542852023,200,1.7870919230288628e-05,False
"(-20, 40)",[-8.51859515e-04  3.78301269e+01],3.087942412442211,200,0.0014649031329052227,False
"(-20, 50)",[-6.16977940e-04  4.97390257e+01],3.1009422202868353,200,0.0009216588313557962,False
"(-20, 60)",[-5.57852782e-04  5.98864042e+01],3.1078966011141818,200,0.000789054262372216,False
"(-20, 70)",[-5.40558562e-04  6.98971007e+01],3.1127616026043867,200,0.0007845650319485699,False
"(-20, 80)",[-5.40372416e-04  7.98739608e+01],3.116387927592563,200,0.0008265182270705186,False
"(-20, 90)",[-5.47779923e-04  8.98317915e+01],3.1191989926657246,200,0.00088120030406689,False
"(-20, 100)",[-5.58512246e-04  9.97739589e+01],3.121442663706367,200,0.0009362526416215214,False
"(-10, -100)",[-6.16412981e-15 -3.38585897e+02],-3.1356943447664705,200,2.460068818769963e-05,False
"(-10, -90)",[-5.32556719e-16 -3.04825173e+02],-3.1350421255152763,200,3.0342164271805856e-05,False
"(-10, -80)",[-3.66889949e-15 -2.71061927e+02],-3.1342276595120033,200,3.8356687350554854e-05,False
