x0,xf,f,nit,grad_norm,success
"(50, 60)",[ 3.69304182e-06 -3.28752718e+03],-3.1409843859890794,30,7.573338173504089e-06,True
"(50, 70)",[-3.09464397e-06 -3.80325362e+03],-3.1410668570998665,30,6.052635637347628e-06,True
"(50, 80)",[-2.65927078e-06 -4.90270636e+03],-3.141184757195587,31,5.236012719927182e-06,True
"(50, 90)",[ 3.71732787e-06 -2.15868266e+03],-3.1406663767668683,28,7.875343302558642e-06,True
"(50, 100)",[ 1.54266778e-06 -4.13969610e+03],-3.141109584627396,31,3.2041384830731713e-06,True
"(60, -100)",[-1.04934309e-06 -5.08601083e+06],-3.141592260353233,57,2.0986861020753437e-06,True
"(60, -90)",[-2.21661808e-06 -1.64503397e+07],-3.141592532006847,61,4.43323615992293e-06,True
"(60, -80)",[ 4.58756780e-06 -1.26911364e+06],-3.1415910776663605,49,9.175136848045038e-06,True
"(60, -70)",[ 2.45224289e-06 -3.96248972e+06],-3.1415921488506733,48,4.904485911669136e-06,True
"(60, -60)",[-2.66907546e-06 -1.07479771e+07],-3.141592467501151,54,5.33815090174243e-06,True
"(60, -50)",[ 2.55385087e-06 -2.49099696e+05],-3.141584624685542,49,5.107733964521755e-06,True
"(60, -40)",[-4.43341388e-06 -3.09459387e+07],-3.141592588941303,58,8.86682775923886e-06,True
"(60, -30)",[-2.78412882e-06 -1.11264156e+06],-3.141590856058759,44,5.568256032154602e-06,True
"(60, -20)",[ 7.55454565e-07 -3.96614779e+07],-3.141592603162459,66,1.5109091320262933e-06,True
"(60, -10)",[ 1.40205365e-06 -7.75351215e+06],-3.1415923956402247,59,2.8041073396955826e-06,True
"(60, 0)",[ 3.10486068e-14 -5.46059959e+02],-3.137933379252719,23,9.468424716340557e-06,True
"(60, 10)",[-3.23758212e-06 -1.84098760e+03],-3.1405065745153324,31,5.91485786115468e-06,True
"(60, 20)",[-4.85012498e-06 -1.07318799e+03],-3.1397299119410174,32,8.152091912691782e-06,True
"(60, 30)",[ 9.06752167e-07 -5.94383886e+02],-3.138230634742503,27,9.3631610178039e-06,True
"(60, 40)",[-3.97658471e-06 -2.26121440e+03],-3.1407083682962513,33,7.572289545882467e-06,True
"(60, 50)",[ 1.78979510e-06 -3.03729197e+04],-3.1415268065392428,42,3.5817587649861967e-06,True
"(60, 60)",[ 4.79860811e-06 -4.93922855e+03],-3.141187772987171,33,9.67952740915179e-06,True
"(60, 70)",[ 2.90318463e-06 -1.75153063e+04],-3.1414784709981944,39,5.8128917557614095e-06,True
"(60, 80)",[-9.89804480e-07 -2.16260632e+03],-3.1406680569567627,31,1.6099485207741812e-06,True
"(60, 90)",[ 1.39813070e-06 -1.54075714e+03],-3.1402950105399468,30,3.7343496259361348e-06,True
"(60, 100)",[-1.56035604e-06 -1.54174094e+03],-3.1402958383084343,29,2.429970140425218e-06,True
"(70, -100)",[-1.98512799e-06 -1.80171491e+07],-3.1415925425805025,59,3.970255968658884e-06,True
"(70, -90)",[ 2.24657819e-06 -1.63627449e+06],-3.141591431296312,48,4.493157119166968e-06,True
"(70, -80)",[-4.13647665e-06 -1.23758105e+07],-3.1415924919671117,50,8.27295329387593e-06,True
"(70, -70)",[-1.76630133e-06 -3.93561612e+06],-3.141592145407093,53,3.5326025363560276e-06,True
"(70, -60)",[-2.04057989e-07 -9.54034369e+05],-3.1415905572303156,50,4.081137803018826e-07,True
"(70, -50)",[ 4.99440199e-06 -2.07397862e+05],-3.1415830102871354,38,9.988850479739864e-06,True
"(70, -40)",[ 3.59492261e-06 -8.12110093e+06],-3.1415924073048562,52,7.189845255864429e-06,True
"(70, -30)",[-4.42416693e-06 -6.28934841e+06],-3.1415923355722795,56,8.848333803984586e-06,True
"(70, -20)",[ 3.63984869e-07 -1.10492620e+07],-3.1415924725821043,56,7.279697542632009e-07,True
"(70, -10)",[ 1.46125519e-06 -6.48018448e+05],-3.14158956725815,50,2.9225151455807306e-06,True
"(70, 0)",[ 3.09741797e-14 -5.46316999e+02],-3.137935099375407,23,9.459525067304225e-06,True
"(70, 10)",[-7.25542249e-06 -5.71520920e+02],-3.138096257476849,27,1.0387260537706617e-05,True
"(70, 20)",[-5.20676864e-06 -1.04899252e+03],-3.139686967308607,32,8.787371692871984e-06,True
"(70, 30)",[ 2.58960377e-08 -8.84911336e+03],-3.1413666550101578,36,8.143748585997122e-08,True
"(70, 40)",[-3.99508512e-06 -2.25133037e+03],-3.1407044868720186,33,7.605983573190584e-06,True
"(70, 50)",[ 3.40054440e-06 -1.13143903e+04],-3.1414158953435174,38,6.8167284446580656e-06,True
"(70, 60)",[ 1.79193395e-06 -4.21472558e+04],-3.141545201475202,44,3.5849939365543975e-06,True
"(70, 70)",[-2.95829480e-06 -3.91251478e+03],-3.141081538658461,33,5.787444541475064e-06,True
"(70, 80)",[ 1.06874408e-06 -5.85252284e+03],-3.141250949794598,35,2.196644849643483e-06,True
"(70, 90)",[-8.05184143e-07 -7.49504222e+04],-3.141565969461148,45,1.6100123048221761e-06,True
"(70, 100)",[ 1.36702553e-06 -8.14210279e+04],-3.141568090059688,45,2.734352769475649e-06,True
"(80, -100)",[ 4.39412629e-07 -6.54978700e+07],-3.141592623054256,69,8.788252575919563e-07,True
"(80, -90)",[ 1.91171622e-07 -5.25790220e+06],-3.1415922732099526,62,3.8234331562807845e-07,True
"(80, -80)",[-1.76941166e-06 -1.62670952e+07],-3.1415925306390857,66,3.5388233119067893e-06,True
"(80, -70)",[-1.8447141e-06 -1.3729892e+07],-3.141592507918826,61,3.689428182964284e-06,True
"(80, -60)",[-4.01702213e-06 -2.28668957e+04],-3.1415051928050657,27,8.03022047276618e-06,True
"(80, -50)",[ 9.07641033e-08 -3.51197937e+07],-3.141592596641843,64,1.8152820825221774e-07,True
"(80, -40)",[-8.44723126e-07 -3.90906230e+04],-3.141541491078342,30,1.6881379578652026e-06,True
"(80, -30)",[-3.55403616e-06 -5.09860524e+06],-3.1415922613130607,60,7.1080722366212456e-06,True
"(80, -20)",[-2.67238702e-06 -1.01754024e+06],-3.1415906880593765,54,5.344772105619853e-06,True
"(80, -10)",[ 3.03637002e-06 -2.40223453e+06],-3.1415918210225686,57,6.072740377909329e-06,True
"(80, 0)",[-1.00037598e-14 -5.54986375e+02],-3.13799218287698,24,9.166557442413357e-06,True
"(80, 10)",[ 1.63735342e-07 -9.59718279e+04],-3.141571814249475,45,3.2768789510700936e-07,True
"(80, 20)",[ 2.34623407e-06 -5.11047551e+03],-3.1412013388260194,33,4.769646320883927e-06,True
"(80, 30)",[ 2.12221716e-06 -1.74132180e+03],-3.1404444297766556,29,4.947754900203394e-06,True
"(80, 40)",[-4.21821638e-06 -7.44321193e+02],-3.1389074360749425,27,6.028122020924476e-06,True
"(80, 50)",[-4.96730907e-06 -6.80690634e+03],-3.1412988559008475,33,9.891553762162218e-06,True
"(80, 60)",[-4.49679679e-06 -1.14291987e+03],-3.139843512259251,26,7.618995814267581e-06,True
"(80, 70)",[-1.26330275e-06 -1.80936322e+05],-3.141581600006167,45,2.5265444174124533e-06,True
"(80, 80)",[-7.88529999e-08 -6.81894215e+03],-3.1412993744564894,33,1.2249718018693192e-07,True
"(80, 90)",[-4.00217416e-06 -1.24423102e+04],-3.1414319181774877,33,7.991440831105128e-06,True
"(80, 100)",[ 3.66964681e-06 -2.52818347e+04],-3.1415135469579396,37,7.34242321680956e-06,True
"(90, -100)",[ 2.39121444e-06 -1.80616776e+07],-3.141592542852393,65,4.782428891170583e-06,True
"(90, -90)",[-4.21991967e-06 -1.66242150e+07],-3.1415925332655568,62,8.439839333509702e-06,True
"(90, -80)",[-2.54728973e-06 -1.52912320e+07],-3.1415925227894004,59,5.094579446856682e-06,True
"(90, -70)",[ 1.45039005e-06 -2.85827591e+05],-3.1415856563748172,36,2.900804571164941e-06,True
"(90, -60)",[ 4.28693013e-06 -4.11524216e+07],-3.1415926049716028,60,8.57386027081318e-06,True
"(90, -50)",[ 9.49434348e-07 -9.15808087e+05],-3.141590469726424,50,1.8988710808540225e-06,True
"(90, -40)",[-2.44966022e-06 -7.14027428e+06],-3.1415923734825273,60,4.899320410074159e-06,True
"(90, -30)",[-2.01822703e-06 -2.08274131e+07],-3.1415925575584343,61,4.036454050907161e-06,True
"(90, -20)",[ 4.80583277e-06 -1.38303255e+07],-3.141592508956946,60,9.611665544434124e-06,True
"(90, -10)",[-3.24885892e-06 -2.06044497e+06],-3.141591682915356,55,6.497717363770625e-06,True
"(90, 0)",[ 2.15443592e-14 -5.45270501e+02],-3.1379280860340346,24,9.49583724930943e-06,True
"(90, 10)",[-2.09310632e-06 -6.62615371e+02],-3.1385765740335874,28,4.562784457774431e-06,True
